"","","FE","","","RE","",""
"","","slope","1|subj","daic","slope|subj","1|subj","daic"
"Dsubj_optout_oo","mood","0.32512002004298385","1.3133863001068469","-2.2","1.061844476975752","1.108316986728","-7.9"
"","real_stress","2.4049323440761654","1.290210108892005","-2.7","1.527391057760309","2.465193963178874","-22.8"
"","food","3.703642081665066","1.3101780421505322","-3.5","2.5150993540640143","2.2425780797351242","-1.7"
"","sleep","-0.8880016359971603","0.8837858092609161","-3.2","-1.0356010475283777","0.5608395579549803","-1.6"
"OKubj_RT_no","mood","-0.028266179475990187","0.5552440203565477","4.7","-0.028788603358680494","1.2812767602367359","5.2"
"","real_stress","0.024822342383007828","0.5025506155155789","5.2","0.03114361572322375","0.10347609523138913","-1.5"
"","food","0.00547204018882344","0.5319184477174091","8.3","0.005275988736612749","0.9017015774930632","11.5"
"","sleep","-0.0026968020217409947","0.5030082209278492","8.0","0.0003305188311092355","0.2845552376905618","11.2"
